,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Krasnoperekopsk,15987,24694,2799,20245,1650,21895,16,109
Saky,17592,24096,2167,20679,1250,21929,17,101
Armyansk,16567,21394,1498,19176,720,19896,16,59
Sudak,13632,16640,591,15744,305,16049,13,18
Belogorsk,13556,16111,346,15599,166,15765,13,18
Shcholkine,8538,10218,130,10035,53,10088,8,6
Staryi Krym,7818,9188,70,9101,17,9118,7,1
Alupka,6661,7789,27,6935,827,7762,6,2

,Week 18
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,58469,328270,103276,152577,72417,224994,58,4260
Kerch,41122,145638,38220,75247,32171,107418,41,1567
Yevpatoria,32742,103191,24748,57990,20453,78443,32,1051
Yalta,-1441,75203,23904,31232,20067,51299,0,970
Feodosia,22950,65599,9641,45128,10830,55958,22,401
Dzhankoy,11911,37284,5884,25488,5912,31400,11,219
Alushta,6267,29033,6205,17661,5167,22828,6,246
Bakhchysarai,11777,26039,4086,18848,3105,21953,11,146
Krasnoperekopsk,14269,24501,3227,18834,2440,21274,14,137
Saky,16506,23918,2786,19249,1883,21132,16,136
Armyansk,16048,21381,2323,17892,1166,19058,16,84
Sudak,13830,16636,999,15105,532,15637,13,40
Belogorsk,13985,16049,694,15031,324,15355,13,30
Shcholkine,8904,10182,245,9822,115,9937,8,8
Staryi Krym,8196,9218,164,9000,54,9054,8,5
Alupka,7015,7799,57,6742,1000,7742,7,2

,Week 19
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-33557,324495,91918,121457,111120,232577,0,3834
Kerch,8265,144163,36640,59119,48404,107523,8,1521
Yevpatoria,11905,101987,26800,44246,30941,75187,11,1149
Yalta,-22780,74130,25136,20412,28582,48994,0,987
Feodosia,16091,65051,11470,39503,14078,53581,16,498
Dzhankoy,7590,36934,6175,22910,7849,30759,7,262
Alushta,1202,28835,6145,15589,7101,22690,1,238
Bakhchysarai,8780,25844,4405,17278,4161,21439,8,195
Krasnoperekopsk,12093,24294,3423,17532,3339,20871,12,139
Saky,14762,23841,3243,17951,2647,20598,14,136
Armyansk,14664,21193,2861,16510,1822,18332,14,131
Sudak,13600,16605,1502,14240,863,15103,13,60
Belogorsk,14045,16002,1243,14171,588,14759,14,41
Shcholkine,9147,10185,417,9541,227,9768,9,17
Staryi Krym,8477,9206,339,8739,128,8867,8,16
Alupka,7336,7811,107,6494,1210,7704,7,6

,Week 20
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-113848,321500,70174,101841,149485,251326,0,3083
Kerch,-22997,142810,30004,47135,65671,112806,0,1286
Yevpatoria,-11135,101028,24730,32985,43313,76298,0,1068
Yalta,-45466,73205,22199,12664,38342,51006,0,937
Feodosia,7293,64406,13352,32325,18729,51054,7,545
Dzhankoy,2951,36719,6399,20439,9881,30320,2,274
Alushta,-3807,28566,6193,13414,8959,22373,0,274
Bakhchysarai,5442,25531,4440,15601,5490,21091,5,181
Krasnoperekopsk,9705,24107,3715,16143,4249,20392,9,146
Saky,12537,23697,3043,16973,3681,20654,12,143
Armyansk,12707,21082,2735,15666,2681,18347,12,121
Sudak,12841,16541,1791,13443,1307,14750,12,80
Belogorsk,13526,15908,1968,12967,973,13940,13,89
Shcholkine,9209,10121,607,9130,384,9514,9,28
